INSERT INTO SPETTATORE (NOME, COGNOME, DATA_DI_NASCITA) VALUES
('Brent', 'Rodriguez', '1928-07-25'),
('Juan', 'Cunningham', '2001-04-10'),
('Edward', 'Crawford', '1968-07-29'),
('Jerry', 'Andrews', '1998-07-24'),
('Whitney', 'Hughes', '1976-05-29'),
('Lonnie', 'Taylor', '1984-08-01'),
('Christopher', 'Martinez', '1965-01-02'),
('Stephanie', 'Smith', '1995-05-24'),
('Michael', 'Kidd', '2005-02-02'),
('Kelsey', 'Crosby', '1950-04-15'),
('Carolyn', 'Rich', '1967-08-05'),
('Glenn', 'Taylor', '1951-03-30'),
('Tammy', 'Hernandez', '1914-01-27'),
('Molly', 'Levy', '1998-09-26'),
('Derek', 'Allen', '1962-08-31'),
('Jessica', 'Bridges', '1965-08-21'),
('Sarah', 'Rios', '1994-09-10'),
('Gregory', 'White', '2003-07-10'),
('Andrew', 'Francis', '1966-02-11'),
('Brian', 'Fox', '2004-11-02'),
('Michelle', 'Garcia', '2003-08-17'),
('William', 'Hurst', '1987-12-31'),
('Gary', 'Hanson', '1943-01-07'),
('Nicole', 'Smith', '1940-01-24'),
('Jessica', 'Maynard', '1914-04-13'),
('Sean', 'Holloway', '1979-02-09'),
('Matthew', 'Moody', '1996-04-06'),
('Angela', 'Pacheco', '1978-05-06'),
('Erin', 'Lynch', '1966-02-04'),
('Samantha', 'Moore', '1928-06-04'),
('Keith', 'Gould', '2003-07-01'),
('Daniel', 'Hughes', '1982-03-06'),
('Julie', 'Johns', '1989-07-15'),
('Tiffany', 'Wilson', '1916-06-22'),
('Gloria', 'Valentine', '1947-03-20'),
('Laura', 'Jones', '1964-11-14'),
('Erin', 'Thompson', '2006-05-25'),
('Nicole', 'Erickson', '1959-10-30'),
('Nancy', 'Hensley', '1933-04-10'),
('James', 'Jones', '1971-10-24'),
('Joanne', 'Larsen', '1931-07-25'),
('William', 'Gilbert', '1929-01-31'),
('Timothy', 'Wilkins', '1969-03-06'),
('Mike', 'Marshall', '1912-01-21'),
('Daniel', 'Zimmerman', '2003-05-26'),
('Jeremiah', 'Price', '1983-12-18'),
('Jeffrey', 'Gibson', '1935-06-03'),
('Brandon', 'Nguyen', '1991-06-21'),
('Brian', 'Lopez', '1934-09-03'),
('Cody', 'Lewis', '1989-02-04'),
('Jacqueline', 'Brown', '1989-11-21'),
('Emily', 'Richmond', '1936-01-16'),
('Kenneth', 'Brock', '1919-02-27'),
('Michael', 'Adams', '2005-09-30'),
('Kenneth', 'Carter', '1974-03-21'),
('Stephanie', 'Morgan', '1971-01-13'),
('Brittany', 'Yang', '1910-04-06'),
('Evan', 'Turner', '1962-06-10'),
('Claudia', 'York', '1967-05-25'),
('Timothy', 'Johnson', '1963-09-23'),
('Holly', 'Murray', '1937-10-08'),
('Michael', 'Allen', '1952-06-21'),
('Riley', 'Ortiz', '1999-09-03'),
('Emily', 'Riley', '1915-01-03'),
('Erika', 'Galvan', '2003-04-15'),
('Colton', 'Kennedy', '1910-12-01'),
('Judy', 'Peters', '1931-11-24'),
('Amy', 'Walker', '1971-07-29'),
('Michael', 'Espinoza', '1974-11-06'),
('Lori', 'Malone', '1921-03-13'),
('Lori', 'Vega', '1945-09-16'),
('Stephanie', 'Santiago', '1910-09-12'),
('Tina', 'Brown', '1938-07-26'),
('Amanda', 'Sims', '2005-09-06'),
('Sara', 'Marquez', '1994-06-06'),
('Jack', 'Fisher', '1910-09-02'),
('George', 'Garcia', '1922-11-19'),
('David', 'Butler', '1912-01-22'),
('Shannon', 'Long', '1912-03-14'),
('Tim', 'Everett', '1992-03-25'),
('Jordan', 'Miller', '1933-11-18'),
('Juan', 'Richardson', '1967-08-15'),
('Daniel', 'Myers', '1927-11-01'),
('Regina', 'Villa', '1944-10-11'),
('Daniel', 'Bolton', '1972-04-13'),
('Kelly', 'Rodgers', '1949-01-22'),
('Kim', 'Ho', '1931-04-12'),
('Erik', 'Mercado', '1936-05-19'),
('Kevin', 'Chan', '1932-10-16'),
('Carlos', 'Salinas', '1937-07-21'),
('Renee', 'Hernandez', '1967-04-15'),
('Amanda', 'Hicks', '1920-06-27'),
('Matthew', 'Johnson', '1910-02-22'),
('Rick', 'Roberts', '1974-06-12'),
('Ivan', 'Perez', '1940-08-25'),
('Shane', 'Jimenez', '1911-01-08'),
('Rachel', 'Miller', '1958-02-02'),
('Michelle', 'Wells', '1916-09-29'),
('Theresa', 'Acosta', '1971-05-19'),
('Kayla', 'Porter', '1928-09-12'),
('James', 'Chavez', '2004-07-09'),
('Dustin', 'Copeland', '1972-03-09'),
('Kristin', 'Holmes', '1926-08-23'),
('Wendy', 'Joseph', '1991-03-18'),
('Michael', 'Brown', '1960-07-02'),
('Jeffery', 'Ramsey', '1970-08-14'),
('Mary', 'Mason', '1987-06-12'),
('Christopher', 'Anderson', '2002-08-30'),
('Gloria', 'Duncan', '1915-10-12'),
('Daniel', 'Hoffman', '1992-03-12'),
('Dale', 'Martinez', '1965-01-25'),
('Alicia', 'Johnson', '1974-11-07'),
('Patricia', 'Williams', '1982-02-12'),
('Janet', 'Romero', '1935-01-24'),
('Tanya', 'Clark', '1988-10-25'),
('Stephanie', 'Schmidt', '1942-11-06'),
('Alexa', 'Clay', '1943-10-12'),
('Adam', 'Wood', '1968-03-06'),
('Kathleen', 'Sanchez', '1939-10-04'),
('Colleen', 'Underwood', '1966-07-16'),
('Megan', 'Jackson', '1911-02-22'),
('Sabrina', 'Cain', '1947-11-17'),
('Katie', 'Smith', '1923-08-22'),
('Collin', 'Barron', '1930-06-11'),
('Brian', 'Santos', '2004-03-26'),
('Monica', 'Anderson', '1993-09-07'),
('Melanie', 'Leach', '1989-08-08'),
('Allison', 'Harrison', '1934-10-01'),
('Brandon', 'Brown', '1982-12-01'),
('Nicholas', 'Hess', '1928-01-26'),
('Jonathan', 'Lynch', '1959-07-06'),
('Benjamin', 'Robinson', '1988-10-11'),
('Collin', 'Gonzalez', '1959-07-26'),
('Vanessa', 'Moore', '1960-11-05'),
('Tasha', 'Allen', '1940-02-19'),
('Rachel', 'Williams', '1935-11-12'),
('Veronica', 'Mcguire', '1928-03-04'),
('Hunter', 'Grant', '1974-06-11'),
('Anna', 'Dudley', '1975-05-23'),
('Robert', 'Thomas', '2004-11-09'),
('Daniel', 'Edwards', '1926-01-25'),
('Andrea', 'Ochoa', '1915-04-04'),
('Teresa', 'Bowman', '1959-03-16'),
('John', 'Potter', '2000-09-16'),
('Martin', 'Burns', '1978-05-13'),
('Melissa', 'Barker', '1965-01-14'),
('Sherry', 'Williams', '1978-12-10'),
('Gina', 'Castro', '1928-04-16'),
('Allison', 'Arias', '1922-07-31'),
('Jonathan', 'Bowen', '1919-07-13'),
('Kelly', 'Bryant', '1987-06-25'),
('Barry', 'Jones', '1931-07-07'),
('Kathryn', 'Sanchez', '1910-06-13'),
('Sydney', 'Sawyer', '1950-11-02'),
('Jared', 'Anderson', '1916-11-24'),
('Chase', 'Gray', '1946-06-28'),
('Jeffrey', 'Mclaughlin', '1911-05-17'),
('Richard', 'Nunez', '1933-09-10'),
('Robert', 'Fisher', '1949-01-11'),
('Michael', 'Gilbert', '1972-04-28'),
('Elizabeth', 'Marshall', '1957-06-20'),
('James', 'Hunter', '1913-09-24'),
('Jennifer', 'Mccarty', '1917-04-14'),
('Erica', 'Rangel', '1919-08-14'),
('Cynthia', 'Lopez', '1984-09-13'),
('Jennifer', 'Smith', '1964-05-24'),
('Taylor', 'Ward', '1998-09-27'),
('Deborah', 'Chavez', '1956-03-07'),
('Susan', 'Wade', '1997-08-04'),
('Stephen', 'Sanchez', '1956-01-14'),
('Kristina', 'Mendoza', '1912-01-30'),
('Samuel', 'Ramirez', '1921-09-24'),
('Lindsay', 'Mckee', '1981-01-31'),
('Kenneth', 'Hunter', '2003-06-10'),
('Robert', 'Jones', '1981-01-24'),
('Kevin', 'Carter', '1968-07-28'),
('Wendy', 'Ho', '1996-11-19'),
('Ruben', 'Rich', '1919-01-22'),
('Maurice', 'Bell', '1956-09-11'),
('Edwin', 'Woodward', '1925-09-09'),
('Randy', 'Herman', '1981-05-06'),
('Patty', 'Morgan', '1970-05-18'),
('Jessica', 'Carter', '1955-02-16'),
('Cory', 'Romero', '1947-07-08'),
('Michael', 'Jones', '1927-05-08'),
('Melissa', 'Fisher', '1997-10-24'),
('Jessica', 'Anderson', '1945-04-16'),
('Kimberly', 'Gillespie', '1962-07-29'),
('Stephen', 'Sullivan', '1945-07-08'),
('Tyler', 'Williams', '1977-09-25'),
('Monica', 'Booker', '1930-03-14'),
('James', 'Jones', '1920-10-13'),
('Robert', 'Salas', '1916-03-24'),
('Kevin', 'Diaz', '1961-10-09'),
('Jennifer', 'Roy', '1954-04-17'),
('Maria', 'Cox', '1975-10-22'),
('Stephen', 'Wolf', '1973-12-25'),
('Mary', 'Garza', '1942-03-10'),
('Bradley', 'Mathis', '1976-02-09'),
('Kristopher', 'Mcmillan', '1964-08-28'),
('Jacqueline', 'Kelley', '1937-10-25'),
('Andrew', 'Morrison', '1945-12-03'),
('Cassidy', 'Jones', '1967-12-01'),
('William', 'Miller', '1938-05-11'),
('Jason', 'Turner', '1994-03-28'),
('Nancy', 'Johnson', '1911-05-19'),
('Shari', 'Ramirez', '1966-11-13'),
('Christina', 'Cook', '1949-11-11'),
('Ryan', 'Zimmerman', '1944-01-30'),
('Jeremy', 'Wagner', '1960-01-18'),
('Matthew', 'Hansen', '2003-06-06'),
('Jennifer', 'Torres', '1944-09-28'),
('Eddie', 'Liu', '1917-07-31'),
('Lisa', 'Moody', '1952-12-30'),
('Justin', 'Munoz', '2002-09-13'),
('Natalie', 'Morrison', '1973-10-16'),
('George', 'Brown', '1972-05-19'),
('Mark', 'Yu', '1988-03-25'),
('Sarah', 'Griffin', '1931-08-02'),
('Jason', 'Davila', '1997-05-10'),
('George', 'Wilcox', '1911-09-14'),
('Rebecca', 'Ramos', '1967-01-27'),
('Kristen', 'Scott', '1993-11-06'),
('Harry', 'Fitzpatrick', '1946-06-26'),
('Scott', 'Cole', '1948-06-10'),
('Natasha', 'Leonard', '1958-02-20'),
('Robert', 'Jimenez', '1981-05-28'),
('Adam', 'Brown', '1922-04-06'),
('George', 'Ellis', '1930-12-05'),
('Kathy', 'Lawson', '1991-06-06'),
('Larry', 'Gilmore', '1985-10-30'),
('Robert', 'Gardner', '1921-11-05'),
('Daniel', 'Parrish', '1961-05-19'),
('Michelle', 'Martinez', '1910-12-30'),
('Alexandra', 'Hancock', '1979-10-15'),
('Philip', 'Hayes', '1992-03-22'),
('Anthony', 'Miller', '1965-12-02'),
('Tara', 'Soto', '1972-01-01'),
('Travis', 'Booth', '1975-06-18'),
('Sarah', 'Wyatt', '1996-08-11'),
('Angela', 'Martin', '1909-11-11'),
('Adam', 'Drake', '1984-04-21'),
('Valerie', 'Dudley', '1938-12-28'),
('Jennifer', 'Jenkins', '1990-06-01'),
('Clayton', 'Hayes', '1969-11-17'),
('Joshua', 'Riley', '1942-05-29'),
('Melissa', 'Rice', '1950-06-04'),
('James', 'Neal', '1942-04-10'),
('Matthew', 'Russell', '1999-07-31'),
('Charlene', 'Pollard', '1960-07-29'),
('Troy', 'Willis', '1954-05-03'),
('Patty', 'Nguyen', '1940-06-30'),
('Jenny', 'Nunez', '1997-09-15'),
('Ralph', 'Thomas', '1948-12-21'),
('Zachary', 'Butler', '1912-03-09'),
('Jessica', 'Lamb', '1966-02-04'),
('Jasmine', 'Adams', '1953-09-28'),
('Derek', 'Burns', '1952-09-02'),
('Julie', 'Smith', '1949-10-13'),
('Carmen', 'Guzman', '1956-08-26'),
('Felicia', 'Gray', '1990-11-07'),
('Anne', 'Stone', '1941-07-28'),
('Tiffany', 'Frost', '1991-04-15'),
('Jack', 'Brown', '1937-02-27'),
('Ronald', 'Oneal', '1992-11-01'),
('Lucas', 'Sparks', '1939-10-13'),
('Nicholas', 'Brown', '1942-10-12'),
('Gabriel', 'Smith', '1931-02-12'),
('Leslie', 'Cox', '1980-07-04'),
('Jose', 'King', '1967-08-20'),
('Joshua', 'Richardson', '1916-06-10'),
('David', 'Garcia', '1969-04-26'),
('Sara', 'Mitchell', '2003-07-31'),
('Angela', 'Ashley', '1955-11-24'),
('Anthony', 'Conway', '1964-12-21'),
('Brian', 'Moore', '1936-11-19'),
('Nicole', 'Jensen', '2003-09-23'),
('Mary', 'Morris', '1968-01-11'),
('Sabrina', 'Guerrero', '1968-06-08'),
('Erica', 'Cherry', '1975-04-22'),
('Sean', 'Gonzalez', '1920-09-26'),
('Andrew', 'Anderson', '1980-11-04'),
('Tracy', 'Hill', '1943-08-13'),
('Justin', 'Phelps', '1994-12-20'),
('David', 'Brooks', '1922-12-08'),
('Zachary', 'Wilson', '1932-04-22'),
('Antonio', 'Jones', '1932-12-15'),
('Steven', 'Lopez', '1910-05-24'),
('Jamie', 'Ruiz', '1946-06-15'),
('Kelly', 'Dudley', '1940-04-04'),
('David', 'Hart', '1989-02-20'),
('Justin', 'Hurley', '1946-04-29'),
('Jennifer', 'Blackburn', '1970-03-26'),
('Curtis', 'Nielsen', '1990-06-28'),
('Penny', 'Hernandez', '1911-10-31'),
('Gabrielle', 'Saunders', '1975-06-11'),
('Theresa', 'Diaz', '1937-10-20'),
('Robin', 'Vasquez', '1996-06-10'),
('Joseph', 'Elliott', '1978-08-30'),
('Brittney', 'Miller', '1918-04-30'),
('Amy', 'Adams', '1995-05-22'),
('Rachel', 'Rowland', '1956-07-16'),
('Tammy', 'Brock', '1996-08-03'),
('James', 'Wood', '1983-10-27'),
('Joseph', 'Murphy', '1974-03-14'),
('Nicholas', 'Garcia', '1969-10-27'),
('Gene', 'Li', '1983-04-24'),
('Eric', 'Lucero', '2004-08-07'),
('Lisa', 'Pruitt', '1931-12-10'),
('Steven', 'Russell', '1946-08-04'),
('Leslie', 'Alvarez', '1953-05-25'),
('Alyssa', 'Green', '1914-04-10'),
('Vernon', 'Kirby', '1909-11-14'),
('Jeffrey', 'Larson', '1975-06-26'),
('Nicole', 'Rodriguez', '1945-09-24'),
('Lauren', 'Lee', '1953-10-02'),
('Miguel', 'Conway', '1987-12-15'),
('Kevin', 'Barrett', '1975-08-10'),
('Christopher', 'Bass', '1993-03-11'),
('Robert', 'Skinner', '1991-08-20'),
('Melissa', 'Cook', '1970-09-18'),
('Matthew', 'Mooney', '2002-11-30'),
('Steven', 'Shepard', '1945-06-05'),
('Patrick', 'Rose', '1964-09-20'),
('Sean', 'Phillips', '1974-04-11'),
('Susan', 'Williams', '1999-04-22'),
('Timothy', 'Torres', '1978-10-14'),
('William', 'Morales', '1923-10-31'),
('Kevin', 'Rodgers', '1929-12-09'),
('Linda', 'Barrett', '1971-02-13'),
('Evan', 'Garza', '1934-03-16'),
('Tracey', 'Hill', '1911-01-13'),
('Michael', 'Murphy', '1946-02-22'),
('Michael', 'Johnson', '1922-04-19'),
('Cynthia', 'Mcdaniel', '1959-05-04'),
('Cheyenne', 'Brown', '1969-11-06'),
('Charlotte', 'Nelson', '1909-06-10'),
('Wanda', 'Price', '1946-05-21'),
('Amy', 'Miller', '1940-07-10'),
('Mackenzie', 'Jones', '1996-07-18'),
('Jeremy', 'Hernandez', '1968-11-15'),
('Steven', 'Bruce', '1980-11-30'),
('Andrew', 'Douglas', '1918-07-21'),
('Troy', 'Mcmillan', '2000-06-07'),
('Sarah', 'Nicholson', '1965-12-12'),
('Leah', 'Herrera', '1924-11-10'),
('Joseph', 'Raymond', '1989-04-12'),
('Joann', 'Skinner', '1911-11-07'),
('Brittany', 'Flores', '2003-01-18'),
('Erica', 'Hopkins', '1917-07-01'),
('Ralph', 'Brown', '1941-06-06'),
('Sheri', 'Griffin', '1976-02-08'),
('Richard', 'Gordon', '1949-05-15'),
('Erin', 'Olson', '1957-01-28'),
('Jeffery', 'Phillips', '1983-07-02'),
('Jillian', 'Allen', '1919-11-23'),
('Kimberly', 'Coleman', '1912-12-28'),
('Sandra', 'Garcia', '1967-02-18'),
('Rebecca', 'Strong', '1954-09-29'),
('Amanda', 'Garza', '1969-06-24'),
('Corey', 'Benson', '1909-04-29'),
('Jacob', 'Fernandez', '1918-07-01'),
('Elizabeth', 'Morrison', '1937-04-26'),
('Shaun', 'Gonzalez', '1946-07-29'),
('Victoria', 'Boone', '1972-03-01'),
('Troy', 'Simmons', '1956-08-01'),
('Adam', 'Allen', '1989-06-05'),
('Andrew', 'Spencer', '1919-10-07'),
('Lauren', 'Johnson', '1987-08-29'),
('Paul', 'Weeks', '1998-01-03'),
('Chase', 'Reynolds', '1966-03-28'),
('Alexandra', 'Harris', '1940-01-12'),
('Steven', 'Gonzalez', '1960-01-27'),
('Kimberly', 'Valdez', '1938-08-19'),
('Edward', 'Kelly', '1914-11-30'),
('Carl', 'Estes', '1948-03-18'),
('Scott', 'Smith', '1978-04-28'),
('Johnny', 'Jackson', '1964-11-15'),
('Kimberly', 'Hanson', '1990-01-01'),
('Alyssa', 'Mcmahon', '1993-04-24'),
('Claudia', 'Newton', '1988-07-19'),
('Jessica', 'Perez', '1915-02-05'),
('Scott', 'Freeman', '1972-08-20'),
('Sara', 'Brown', '1966-04-01'),
('Sarah', 'Larson', '1955-04-02'),
('Kyle', 'Allen', '1994-04-19'),
('Zachary', 'Manning', '1964-02-07'),
('Dominic', 'Curtis', '1984-12-28'),
('Jason', 'Williams', '1978-10-28'),
('Lisa', 'Walters', '1947-12-06'),
('Mackenzie', 'Douglas', '1959-04-10'),
('Kirk', 'Sherman', '2000-04-10'),
('Samantha', 'White', '1998-10-25'),
('Michael', 'Sweeney', '1928-05-05'),
('Danielle', 'Duncan', '1995-12-27'),
('Lisa', 'Flores', '1940-06-30'),
('Mark', 'Jimenez', '1984-11-15'),
('Derek', 'Williams', '1970-03-02'),
('Gary', 'Soto', '1911-11-09'),
('Zachary', 'Berry', '1961-10-17'),
('Curtis', 'Torres', '2003-02-19'),
('Deborah', 'Davis', '1939-04-06'),
('Stephanie', 'Jones', '1943-06-09'),
('Theresa', 'Johnson', '1937-10-25'),
('Lori', 'Mitchell', '2003-05-19'),
('Christopher', 'Brown', '1908-10-20'),
('Kristin', 'Wright', '1968-10-05'),
('Christine', 'Moss', '1987-01-20'),
('Jason', 'Ross', '1977-05-12'),
('Nicole', 'Bates', '1973-11-21'),
('Jeremy', 'Campbell', '1976-08-02'),
('Julie', 'Conner', '1982-07-25'),
('Kimberly', 'Olson', '1978-04-28'),
('Timothy', 'Mckee', '1931-05-02'),
('Matthew', 'Hood', '1942-10-01'),
('Bethany', 'Flores', '1959-11-17'),
('Elijah', 'Thompson', '1933-07-29'),
('Jodi', 'Morris', '1999-09-27'),
('Laura', 'Johnson', '1915-10-29'),
('Kevin', 'Jones', '1992-02-28'),
('Wesley', 'Young', '1967-06-05'),
('Yvette', 'Compton', '1990-02-03'),
('Jennifer', 'Warren', '1961-05-12'),
('John', 'Mendoza', '1932-07-14'),
('Robert', 'Byrd', '1910-03-06'),
('Laurie', 'Bernard', '1981-11-03'),
('Molly', 'Rivera', '1952-12-18'),
('Mark', 'Swanson', '1909-12-31'),
('Daniel', 'Williams', '1924-01-23'),
('Sharon', 'Bowman', '1945-08-23'),
('James', 'Valdez', '1971-10-31'),
('Matthew', 'Berry', '1948-09-04'),
('Donald', 'Mitchell', '1959-07-16'),
('Eric', 'Johnson', '1919-12-16'),
('Kaitlyn', 'Gonzales', '1960-05-03'),
('Scott', 'Rodriguez', '1968-03-09'),
('Kevin', 'Brown', '1946-03-09'),
('Thomas', 'Ford', '1938-10-31'),
('Frank', 'Wagner', '1990-08-14'),
('Mark', 'Daniel', '1923-01-30'),
('Lauren', 'Lambert', '1946-08-19'),
('Kari', 'Richardson', '1956-10-26'),
('Stephen', 'Stafford', '1920-10-11'),
('Katherine', 'Stanley', '1972-06-15'),
('Jennifer', 'Stone', '2002-07-23'),
('Maria', 'Kelly', '1956-04-20'),
('Kathy', 'Hernandez', '1960-10-29'),
('John', 'Barber', '1917-05-10'),
('Lisa', 'Figueroa', '1941-04-18'),
('Amy', 'Woodard', '1955-11-21'),
('David', 'Rowland', '1980-02-14'),
('Dillon', 'Jones', '1955-08-14'),
('Donald', 'Morris', '1922-12-13'),
('Jeffrey', 'Barker', '1994-01-06'),
('Nicholas', 'Johnson', '1992-10-18'),
('William', 'Campbell', '1989-11-19'),
('Joseph', 'Gordon', '1958-02-24'),
('Kathryn', 'Nelson', '1926-07-14'),
('Alejandro', 'Carr', '1955-07-13'),
('Crystal', 'Jones', '1992-01-20'),
('Calvin', 'Carey', '1933-09-01'),
('Dana', 'Salazar', '1996-10-04'),
('Michael', 'Smith', '1963-10-27'),
('Lauren', 'Wilson', '1923-02-04'),
('Jessica', 'Heath', '1951-01-25'),
('Lynn', 'Ramirez', '1969-12-04'),
('Makayla', 'Brown', '1996-06-14'),
('Carolyn', 'Garcia', '1915-02-21'),
('Kimberly', 'Schultz', '1994-05-31'),
('Kelly', 'Frazier', '1924-08-15'),
